LoB,회사명,연,월,기준일,위험지표,자산총계,매출액
IGH,일동제약,2021,12,2021-12-31,3,6.89903E+11,0
IGH,일동제약,2022,9,2022-09-30,3,6.96709E+11,0
IGH,한라,2017,12,2017-12-31,2,1.11797E+12,1.45468E+12
IGH,한라,2018,12,2018-12-31,4,1.14465E+12,1.16528E+12
IGH,한라,2019,12,2019-12-31,5,1.17817E+12,1.19849E+12
IGH,한라,2020,12,2020-12-31,3,1.31802E+12,1.44207E+12
IGH,한라,2021,12,2021-12-31,4,1.47984E+12,1.34769E+12
IGH,한라,2022,9,2022-09-30,1,0,0
IGH,한신공영,2017,12,2017-12-31,2,1.75582E+12,1.96789E+12
IGH,한신공영,2018,12,2018-12-31,2,1.63352E+12,2.06318E+12
IGH,한신공영,2019,12,2019-12-31,4,1.50575E+12,1.54112E+12
IGH,한신공영,2020,12,2020-12-31,2,1.59519E+12,1.50033E+12
IGH,한신공영,2021,12,2021-12-31,4,1.85465E+12,1.29189E+12
IGH,한신공영,2022,9,2022-09-30,3,1.84617E+12,8.56957E+11
IM1,HD현대,2017,12,2017-12-31,0,0,0
IM1,HD현대,2018,12,2018-12-31,0,0,0
IM1,HD현대,2019,12,2019-12-31,0,0,0
IM1,HD현대,2020,12,2020-12-31,0,0,0
IM1,HD현대,2021,12,2021-12-31,0,0,0
IM1,HD현대,2022,9,2022-09-30,1,8.46404E+12,3.40748E+11
IM1,고려아연,2017,12,2017-12-31,0,6.30412E+12,0
IM1,고려아연,2018,12,2018-12-31,0,6.45445E+12,0
IM1,고려아연,2019,12,2019-12-31,1,6.94242E+12,0
IM1,고려아연,2020,12,2020-12-31,2,7.51566E+12,0
IM1,고려아연,2021,12,2021-12-31,1,8.32123E+12,0
IM1,고려아연,2022,9,2022-09-30,0,9.56584E+12,0
IM1,코오롱,2017,12,2017-12-31,3,1.24705E+12,60369419055
IM1,코오롱,2018,12,2018-12-31,4,1.27777E+12,58173001873
IM1,코오롱,2019,12,2019-12-31,3,1.27253E+12,60462264683
IM1,코오롱,2020,12,2020-12-31,3,1.16615E+12,54000329191
IM1,코오롱,2021,12,2021-12-31,4,1.22642E+12,63307699576
IM1,코오롱,2022,9,2022-09-30,4,1.40523E+12,56813940156
IM1,한화솔루션,2017,12,2017-12-31,0,0,0
IM1,한화솔루션,2018,12,2018-12-31,0,0,0
IM1,한화솔루션,2019,12,2019-12-31,1,8.2446E+12,3.44934E+12
IM1,한화솔루션,2020,12,2020-12-31,3,1.06264E+13,5.71732E+12
IM1,한화솔루션,2021,12,2021-12-31,2,1.53101E+13,7.39568E+12
IM1,한화솔루션,2022,9,2022-09-30,2,1.78678E+13,7.10724E+12
IM1,현대중공업,2017,12,2017-12-31,0,1.99302E+13,1.01058E+13
IM1,현대중공업,2018,12,2018-12-31,2,1.9678E+13,8.0667E+12
IM1,현대중공업,2019,12,2019-12-31,1,0,0
IM1,현대중공업,2020,12,2020-12-31,0,0,0
IM1,현대중공업,2021,12,2021-12-31,3,1.50788E+13,8.304E+12
IM1,현대중공업,2022,9,2022-09-30,5,1.78625E+13,6.38243E+12
IM2,LIG넥스원,2017,12,2017-12-31,1,2.00686E+12,1.76033E+12
IM2,LIG넥스원,2018,12,2018-12-31,4,2.32209E+12,1.47751E+12
IM2,LIG넥스원,2019,12,2019-12-31,1,2.31522E+12,1.45189E+12
IM2,LIG넥스원,2020,12,2020-12-31,2,2.59284E+12,1.59943E+12
IM2,LIG넥스원,2021,12,2021-12-31,1,2.56903E+12,1.82002E+12
IM2,LIG넥스원,2022,9,2022-09-30,2,3.11951E+12,1.6095E+12
IM2,아세아시멘트,2017,12,2017-12-31,0,8.47936E+11,4.39388E+11
IM2,아세아시멘트,2018,12,2018-12-31,1,1.161E+12,3.90703E+11
IM2,아세아시멘트,2019,12,2019-12-31,0,1.14302E+12,3.82788E+11
IM2,아세아시멘트,2020,12,2020-12-31,0,1.10072E+12,3.52859E+11
IM2,아세아시멘트,2021,12,2021-12-31,0,1.17115E+12,3.99647E+11
IM2,아세아시멘트,2022,9,2022-09-30,0,1.18072E+12,3.4603E+11
IM2,이수화학,2017,12,2017-12-31,0,9.03701E+11,1.04921E+12
IM2,이수화학,2018,12,2018-12-31,0,9.33601E+11,1.21589E+12
IM2,이수화학,2019,12,2019-12-31,2,9.76681E+11,1.21214E+12
IM2,이수화학,2020,12,2020-12-31,2,8.69029E+11,9.43467E+11
IM2,이수화학,2021,12,2021-12-31,1,9.86685E+11,1.31868E+12
IM2,이수화학,2022,9,2022-09-30,2,9.92043E+11,1.16823E+12
IM2,포스코,2017,12,2017-12-31,0,5.36923E+13,2.85538E+13
IM2,포스코,2018,12,2018-12-31,0,5.4126E+13,3.06594E+13
IM2,포스코,2019,12,2019-12-31,0,5.57108E+13,3.03735E+13
IM2,포스코,2020,12,2020-12-31,1,5.6795E+13,2.65099E+13
IM2,포스코,2021,12,2021-12-31,0,6.42428E+13,3.99202E+13
IM2,포스코,2022,9,2022-09-30,1,0,0
IM2,한일현대시멘트,2017,12,2017-12-31,0,0,0
IM2,한일현대시멘트,2018,12,2018-12-31,2,5.48945E+11,3.39613E+11
IM2,한일현대시멘트,2019,12,2019-12-31,1,5.60205E+11,3.84113E+11
IM2,한일현대시멘트,2020,12,2020-12-31,0,5.62929E+11,3.34268E+11
IM2,한일현대시멘트,2021,12,2021-12-31,0,5.96794E+11,3.96984E+11
IM2,한일현대시멘트,2022,9,2022-09-30,2,6.05383E+11,3.29361E+11
IM3,HL만도,2017,12,2017-12-31,0,0,0
IM3,HL만도,2018,12,2018-12-31,0,0,0
IM3,HL만도,2019,12,2019-12-31,0,0,0
IM3,HL만도,2020,12,2020-12-31,0,0,0
